Date,Value
1990-01-01,213647.44
1990-02-01,216504.57
1990-03-01,217589.37
1990-04-01,219769.62
1990-05-01,223276.19
1990-06-01,225664.82
1990-07-01,229586.26
1990-08-01,232414.91
1990-09-01,234725.03
1990-10-01,236170.64
1990-11-01,239294.12
1990-12-01,238642.62
1991-01-01,238714.84
1991-02-01,242288.12
1991-03-01,246840.76
1991-04-01,248743.89
1991-05-01,250931.03
1991-06-01,252246.44
1991-07-01,253720.26
1991-08-01,255892.74
1991-09-01,258812.22
1991-10-01,261348.24
1991-11-01,262777.28
1991-12-01,263768.55
1992-01-01,265386.49
1992-02-01,266482.13
1992-03-01,266755.7
1992-04-01,267829.23
1992-05-01,268751.8
1992-06-01,270707.63
1992-07-01,270817.59
1992-08-01,272080.5
1992-09-01,273176.96
1992-10-01,275207.64
1992-11-01,275459.75
1992-12-01,278449.67
1993-01-01,280994.81
1993-02-01,283531.25
1993-03-01,284890.41
1993-04-01,286976.13
1993-05-01,288470.63
1993-06-01,289961.25
1993-07-01,294232.01
1993-08-01,296264.17
1993-09-01,299447.98
1993-10-01,301654.09
1993-11-01,306564.01
1993-12-01,309908.02
1994-01-01,312521.67
1994-02-01,315413.72
1994-03-01,319777.37
1994-04-01,325015.74
1994-05-01,329097.63
1994-06-01,334852.8
1994-07-01,339945.48
1994-08-01,347670.7
1994-09-01,350083.91
1994-10-01,352779.03
1994-11-01,362592.72
1994-12-01,365569.56
1995-01-01,372003.17
1995-02-01,378103.38
1995-03-01,385559.92
1995-04-01,389743.58
1995-05-01,398163.97
1995-06-01,406087.43
1995-07-01,409141.29
1995-08-01,417565.74
1995-09-01,429032.15
1995-10-01,433450.42
1995-11-01,436740.16
1995-12-01,443920.09
1996-01-01,449994.68
1996-02-01,455597.38
1996-03-01,461591.95
1996-04-01,465781.59
1996-05-01,470659.79
1996-06-01,474262.36
1996-07-01,479267.01
1996-08-01,483293.11
1996-09-01,486284.81
1996-10-01,490441.62
1996-11-01,497511.48
1996-12-01,507516.57
1997-01-01,510470.26
1997-02-01,511713.55
1997-03-01,511956.09
1997-04-01,511864.57
1997-05-01,514481.11
1997-06-01,515566.18
1997-07-01,520896.35
1997-08-01,524444.78
1997-09-01,528722.4
1997-10-01,532044.28
1997-11-01,534807.8
1997-12-01,540005.56
1998-01-01,537942.46
1998-02-01,538894.29
1998-03-01,541447.51
1998-04-01,560906.83
1998-05-01,559834.13
1998-06-01,561550.45
1998-07-01,560553.94
1998-08-01,564420.41
1998-09-01,568615.69
1998-10-01,572289.34
1998-11-01,571207.79
1998-12-01,581414.78
1999-01-01,585177.01
1999-02-01,585454.04
1999-03-01,585157.22
1999-04-01,585734.42
1999-05-01,588377.69
1999-06-01,594610.74
1999-07-01,600995.38
1999-08-01,603528.93
1999-09-01,606886.56
1999-10-01,608141.54
1999-11-01,610101.83
1999-12-01,610696.47
2000-01-01,614846.55
2000-02-01,617332.56
2000-03-01,622510.97
2000-04-01,625735.94
2000-05-01,631857.15
2000-06-01,639158.55
2000-07-01,646927.01
2000-08-01,656021.89
2000-09-01,661996.81
2000-10-01,667948.15
2000-11-01,673994.74
2000-12-01,682646.37
2001-01-01,686761.5
2001-02-01,697982.51
2001-03-01,702560.77
2001-04-01,707447.02
2001-05-01,709590.51
2001-06-01,712002.55
2001-07-01,707890.02
2001-08-01,706691.34
2001-09-01,707262.63
2001-10-01,705408.52
2001-11-01,712658.74
2001-12-01,714840.73
2002-01-01,714781.5
2002-02-01,714822.1
2002-03-01,719956.04
2002-04-01,725227.7
2002-05-01,728364.1
2002-06-01,732813.38
2002-07-01,736264.46
2002-08-01,740489.45
2002-09-01,743326.36
2002-10-01,747939.58
2002-11-01,749906.22
2002-12-01,750947.45
2003-01-01,754789.4
2003-02-01,758601.34
2003-03-01,759655.21
2003-04-01,760752.43
2003-05-01,763704.74
2003-06-01,763814.88
2003-07-01,764388.66
2003-08-01,766324.4
2003-09-01,766041.92
2003-10-01,765535.19
2003-11-01,765007.92
2003-12-01,768258.31
2004-01-01,770672.5
2004-02-01,772362.27
2004-03-01,778092.48
2004-04-01,775554.79
2004-05-01,778088.65
2004-06-01,779731.22
2004-07-01,786087.14
2004-08-01,787011.66
2004-09-01,793635.81
2004-10-01,796696.49
2004-11-01,797184.97
2004-12-01,799552.18
2005-01-01,804635.76
2005-02-01,804107.29
2005-03-01,804639.97
2005-04-01,810558.39
2005-05-01,809211.55
2005-06-01,814181.65
2005-07-01,814908.46
2005-08-01,817842.41
2005-09-01,819651.75
2005-10-01,821082.67
2005-11-01,825878.08
2005-12-01,829518.36
2006-01-01,879577.12
2006-02-01,885289.73
2006-03-01,888243.58
